B2 B3
C7 C6
C2 C3
G7 G6
C1 A3
D7 D6
D2 D4
E7 E5
E2 E4
B8 A6
C3 C4
D8 H4
G1 F3
H4 H3
D1 D3
H3 E6
B1 D2
A6 B8
F1 E2
A7 A6
F3 G5
D6 D5
E2 D1
E8 D8
G5 F3
D8 E8
A1 B1
G8 E7
B1 A1
E6 D6
H1 G1
E5 D4
D3 D4
F8 G7
D4 D3
C8 H3
G2 H3
G7 D4
D2 B1
D4 B2
E1 D2
A8 A7
E4 E5
D6 B4
G1 F1
B8 D7
F3 G5
D5 C4
D2 E1
A7 A8
F2 F4
GAME END
